Stock quote and option quote for SPY on 7/1/20 11:27:13

UNDERLYING
LAST,LX,Net Chng,BID,BX,ASK,AX,Size,Volume,Open,High,Low
309.756,D,+1.396,309.73,Q,309.75,Z,8 x 1,"26,811,767",309.57,311.26,309.30

UNDERLYING EXTRA INFO
Last Size,Yield,PE,Div,Div.Freq,Ex Div.Date,52High,52Low,Shares,Beta
100,1.76%,<empty>,1.366,Q,6/19/20,339.08,218.26,0,1.001

Theo parameters
Theo date,Theo stock price,Theo volatility
12/30/20, 0.00$, 0.00%

1 JUL 20  (0)  100 (Weeklys)
Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,BID,BX,ASK,AX,,,Exp,Strike,BID,BX,ASK,AX,Option Code,LAST,LX,Net Chng,Volume,Prob.ITM,Prob.OTM,Prob.Touch,Rho,Theo Price,Theta,Vega,Volume,Open.Int,Extrinsic,Gamma,Impl Vol,Intrinsic,,
SPY200701C300,9.63,W,+.86,376,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,376,"2,109",-.095,.00,--,9.75,9.52,Q,9.79,N,,,1 JUL 20,300,.01,W,.02,W,SPY200701P300,.02,B,-.13,"5,857",1.13%,98.87%,2.17%,.00,0,-.02,.00,"5,857","16,894",.015,.01,25.41%,0,,
SPY200701C301,8.84,E,+.75,29,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,29,"1,304",-.095,.00,--,8.75,8.60,Z,8.71,N,,,1 JUL 20,301,.01,W,.02,W,SPY200701P301,.02,E,-.18,"1,822",1.23%,98.77%,2.36%,.00,0,-.02,.01,"1,822","6,600",.015,.01,22.96%,0,,
SPY200701C302,7.65,A,+1.11,112,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,112,"1,312",-.15,.00,--,7.75,7.49,Q,7.71,I,,,1 JUL 20,302,.02,W,.03,Z,SPY200701P302,.03,M,-.24,"2,192",1.97%,98.03%,3.76%,.00,0,-.03,.01,"2,192","4,979",.025,.01,21.98%,0,,
SPY200701C303,6.84,E,+.98,190,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,190,"2,079",-.06,.00,--,6.75,6.54,Q,6.84,Q,,,1 JUL 20,303,.03,W,.04,Z,SPY200701P303,.04,X,-.31,"5,247",2.83%,97.17%,5.35%,.00,0,-.04,.01,"5,247","5,958",.035,.02,20.43%,0,,
SPY200701C304,6.04,X,+1.29,223,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,223,"2,385",-.115,.00,--,5.75,5.50,Z,5.77,Z,,,1 JUL 20,304,.06,W,.07,W,SPY200701P304,.05,D,-.41,"3,940",4.98%,95.02%,9.37%,.00,0,-.07,.02,"3,940","26,570",.065,.03,19.84%,0,,
SPY200701C305,4.67,P,+.65,593,100.00%,0.00%,<empty>,.00,<empty>,.00,.00,593,"4,200",-.035,.00,--,4.75,4.67,I,4.76,I,,,1 JUL 20,305,.09,W,.10,P,SPY200701P305,.10,P,-.52,"9,720",7.35%,92.65%,13.71%,.00,0,-.10,.02,"9,720","9,219",.095,.05,18.21%,0,,
SPY200701C306,3.68,C,+.39,777,81.42%,18.58%,34.63%,.00,0,-.04,.03,777,"5,951",.045,.10,22.50%,3.75,3.75,I,3.84,Q,,,1 JUL 20,306,.15,W,.16,Z,SPY200701P306,.18,I,-.64,"9,454",11.72%,88.28%,21.62%,.00,0,-.16,.03,"9,454","7,681",.155,.07,16.96%,0,,
SPY200701C307,2.92,Z,+.37,"1,470",73.48%,26.52%,49.01%,.00,0,-.19,.04,"1,470","6,742",.185,.12,22.11%,2.75,2.90,P,2.97,I,,,1 JUL 20,307,.26,Z,.27,P,SPY200701P307,.28,Q,-.80,"14,374",18.98%,81.02%,34.52%,.00,0,-.27,.04,"14,374","6,017",.265,.10,15.86%,0,,
SPY200701C308,2.15,C,+.24,"3,056",64.14%,35.86%,65.51%,.00,0,-.40,.05,"3,056","7,690",.40,.13,21.18%,1.75,2.13,Q,2.17,Q,,,1 JUL 20,308,.44,D,.45,Z,SPY200701P308,.45,C,-1.00,"19,484",29.88%,70.12%,53.23%,.00,0,-.45,.06,"19,484","4,741",.445,.15,14.64%,0,,
SPY200701C309,1.38,Z,+.05,"5,941",53.14%,46.86%,83.87%,.00,0,-.65,.06,"5,941","6,055",.65,.15,19.03%,.75,1.38,Q,1.42,N,,,1 JUL 20,309,.74,N,.75,Z,SPY200701P309,.75,N,-1.14,"20,891",45.43%,54.57%,78.57%,.00,0,-.75,.06,"20,891","3,790",.745,.18,13.45%,0,,
